2026-04-21T14:37:55.390305Z  INFO matrix_sdk_ffi::platform: Logging has been set up env_filter="panic=error,hyper=warn,matrix_sdk_ffi=info,matrix_sdk=info,matrix_sdk::client=trace,matrix_sdk_crypto=debug,matrix_sdk_crypto::olm::account=trace,matrix_sdk::oidc=trace,matrix_sdk::http_client=debug,matrix_sdk::sliding_sync=info,matrix_sdk_base::sliding_sync=info,matrix_sdk_ui::timeline=info,matrix_sdk::send_queue=info,matrix_sdk::event_cache=info,matrix_sdk::latest_events=info,matrix_sdk_base::event_cache=info,matrix_sdk_sqlite::event_cache_store=info,matrix_sdk_common::cross_process_lock=warn,matrix_sdk_common::deserialized_responses=info,matrix_sdk_base::store::ambiguity_map=warn,matrix_sdk_ui::notification_client=info,matrix_sdk_base::response_processors=debug,elementx=info" | bindings/matrix-sdk-ffi/src/platform/mod.rs:602
2026-04-21T14:38:02.496686Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-3" method=GET uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.msc2965/auth_metadata"}
2026-04-21T14:38:02.499412Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-3" method=GET uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.msc2965/auth_metadata" status=200 response_size="2.6k" request_duration=2.439ms}
2026-04-21T14:38:02.503476Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-4" method=GET uri="https://matrix.mertis.kz/_matrix/client/versions"}
2026-04-21T14:38:02.505478Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-4" method=GET uri="https://matrix.mertis.kz/_matrix/client/versions" status=200 response_size="1.2k" request_duration=1.964792ms}
2026-04-21T14:38:02.506170Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-5" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/login"}
2026-04-21T14:38:02.508348Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-5" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/login" status=200 response_size="142B" request_duration=1.128083ms}
2026-04-21T14:38:02.517986Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > build > send{request_id="REQ-6" method=GET uri="https://matrix.mertis.kz/_matrix/client/versions"}
2026-04-21T14:38:02.520393Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > build > send{request_id="REQ-6" method=GET uri="https://matrix.mertis.kz/_matrix/client/versions" status=200 response_size="1.2k" request_duration=2.359167ms}
2026-04-21T14:38:02.520429Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > build > send{request_id="REQ-7" method=GET uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.msc2965/auth_metadata"}
2026-04-21T14:38:02.522470Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > build > send{request_id="REQ-7" method=GET uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.msc2965/auth_metadata" status=200 response_size="2.6k" request_duration=2.010667ms}
2026-04-21T14:38:02.534176Z  INFO matrix_sdk::authentication::oauth::auth_code_builder: Authorizing scope via the OAuth 2.0 Authorization Code flow issuer="https://auth.mertis.kz/" scopes=[Scope("urn:matrix:org.matrix.msc2967.client:api:*"), Scope("urn:matrix:org.matrix.msc2967.client:device:pHHotPZIkM")] | crates/matrix-sdk/src/authentication/oauth/auth_code_builder.rs:127 | spans: root > build
2026-04-21T14:38:02.536284Z  INFO elementx: Transitioning from `startScreen` to `oidcAuthentication` with event `Optional(SalemX.AuthenticationFlowCoordinator.Event.continueWithOIDC)`. | AuthenticationFlowCoordinator.swift:246 | spans: root
2026-04-21T14:38:03.236719Z  INFO elementx: Application will resign active | AppCoordinator.swift:1153 | spans: root
2026-04-21T14:38:03.251441Z ERROR elementx: Failed scheduling background app refresh with error :Error Domain=BGTaskSchedulerErrorDomain Code=1 "(null)" | AppCoordinator.swift:1218 | spans: root
2026-04-21T14:38:04.284968Z  INFO elementx: Application did become active | AppCoordinator.swift:1178 | spans: root
2026-04-21T14:38:04.285015Z  INFO elementx: Ending background task. | AppCoordinator.swift:1188 | spans: root
