15:40:05  Acquired tunnel connection to device.
15:40:05  Enabling developer disk image services.
15:40:05  Acquired usage assertion.
Launched application with kz.salemx.msg bundle identifier.
Waiting for the application to terminate…
2026-04-22T10:40:05.527865Z  INFO matrix_sdk_ffi::platform: Logging has been set up env_filter="panic=error,hyper=warn,matrix_sdk_ffi=info,matrix_sdk=info,matrix_sdk::client=trace,matrix_sdk_crypto=debug,matrix_sdk_crypto::olm::account=trace,matrix_sdk::oidc=trace,matrix_sdk::http_client=debug,matrix_sdk::sliding_sync=info,matrix_sdk_base::sliding_sync=info,matrix_sdk_ui::timeline=info,matrix_sdk::send_queue=info,matrix_sdk::event_cache=info,matrix_sdk::latest_events=info,matrix_sdk_base::event_cache=info,matrix_sdk_sqlite::event_cache_store=info,matrix_sdk_common::cross_process_lock=warn,matrix_sdk_common::deserialized_responses=info,matrix_sdk_base::store::ambiguity_map=warn,matrix_sdk_ui::notification_client=info,matrix_sdk_base::response_processors=debug,elementx=info" | bindings/matrix-sdk-ffi/src/platform/mod.rs:602
2026-04-22T10:40:05.528639Z  INFO elementx: SalemX 26.03.4 (1) | AppCoordinator.swift:91 | spans: root
2026-04-22T10:40:05.534402Z  INFO elementx: NavigationRootCoordinator(SalemX.SplashScreenCoordinator Set root: SalemX.SplashScreenCoordinator | NavigationRootCoordinator.swift:153 | spans: root
2026-04-22T10:40:05.561746Z  INFO elementx: Sentry configured (enabled: false) | AppCoordinator.swift:1026 | spans: root
2026-04-22T10:40:05.562762Z  INFO elementx: App setting 'enableNotifications' is 'true' | NotificationManager.swift:51 | spans: root
2026-04-22T10:40:05.562966Z  INFO elementx: [CALL-END-TRACE][CANARY-APP-LAUNCH] local_trace_id=app_launch room_id=n/a widget_id=n/a callkit_id=n/a | AppCoordinator.swift:162 | spans: root
2026-04-22T10:40:05.563923Z  INFO elementx: Register background app refresh with result: true | AppCoordinator.swift:1205 | spans: root
2026-04-22T10:40:05.647164Z  INFO elementx: Network reachability changed to reachable | NetworkMonitor.swift:30 | spans: root
2026-04-22T10:40:05.654949Z  INFO elementx: Transitioning from `initial` to `restoringSession` with event `startWithExistingSession` | AppCoordinatorStateMachine.swift:93 | spans: root
2026-04-22T10:40:05.659901Z  INFO elementx: No global proxy configured. | URL.swift:113 | spans: root > Global proxy
spawning a multithreaded tokio runtime
2026-04-22T10:40:05.662068Z DEBUG matrix_sdk::client::builder: Starting to build the Client | crates/matrix-sdk/src/client/builder/mod.rs:533 | spans: root > build
2026-04-22T10:40:05.870011Z  INFO matrix_sdk::client::builder: selected sliding sync version version=None | crates/matrix-sdk/src/client/builder/mod.rs:585 | spans: root > build{homeserver=HomeserverUrl("https://matrix.mertis.kz/")}
2026-04-22T10:40:05.870849Z DEBUG matrix_sdk::client::builder: Done building the Client | crates/matrix-sdk/src/client/builder/mod.rs:637 | spans: root > build{homeserver=HomeserverUrl("https://matrix.mertis.kz/")}
2026-04-22T10:40:05.870984Z DEBUG matrix_sdk::client::thread_subscriptions: Thread subscriptions catchup not enabled, not starting the catchup task | crates/matrix-sdk/src/client/thread_subscriptions.rs:161
2026-04-22T10:40:05.874250Z DEBUG matrix_sdk_crypto::machine: Restored an Olm account | crates/matrix-sdk-crypto/src/machine/mod.rs:330 | spans: restore_session_with > with_store{user_id="@test2:mertis.kz" device_id="Z4J1wfeukl" ed25519_key=YBVytjQtW7p4YXBJoNbTH+now14oHD2Y4+X/t53VPzE curve25519_key=WN4Ll6tmb1nN1pN/+KQTWEHeSBBpkeJcmfJM74EgNB4}
2026-04-22T10:40:05.874624Z DEBUG matrix_sdk_crypto::machine: Restored the cross signing identity master_key=Some("ed25519:9yIZ9iFkLpNrF0D0Q6QiBzAzecWulE9Gcf2F5Aez9+0") | crates/matrix-sdk-crypto/src/machine/mod.rs:374 | spans: restore_session_with > with_store{user_id="@test2:mertis.kz" device_id="Z4J1wfeukl" ed25519_key=YBVytjQtW7p4YXBJoNbTH+now14oHD2Y4+X/t53VPzE curve25519_key=WN4Ll6tmb1nN1pN/+KQTWEHeSBBpkeJcmfJM74EgNB4}
2026-04-22T10:40:05.875463Z  INFO elementx: Set up session for user @test2:mertis.kz at: Data: /private/var/mobile/Containers/Shared/AppGroup/99D73CAD-D41E-4571-937C-CDF4CB70AA29/Library/Application Support/kz.salemx.msg/Sessions/F3D999A9-6A6E-4670-84CA-C6CF7685EAA0 Caches: /private/var/mobile/Containers/Shared/AppGroup/99D73CAD-D41E-4571-937C-CDF4CB70AA29/Library/Caches/kz.salemx.msg/Sessions/F3D999A9-6A6E-4670-84CA-C6CF7685EAA0 | UserSessionStore.swift:145 | spans: root
2026-04-22T10:40:05.876798Z  INFO elementx: Checking if backup exists on the server | SecureBackupController.swift:196 | spans: root
2026-04-22T10:40:05.876988Z  INFO elementx: Recovery state changed to: unknown, setting local state to unknown | SecureBackupController.swift:80 | spans: root
2026-04-22T10:40:05.877326Z  INFO elementx: Key backup state changed to: unknown, setting local state to unknown | SecureBackupController.swift:59 | spans: root
2026-04-22T10:40:05.877630Z  INFO matrix_sdk::encryption::backups: Setting up secret listeners and trying to resume backups | crates/matrix-sdk/src/encryption/backups/mod.rs:752
2026-04-22T10:40:05.877808Z  INFO elementx: Checking if backup exists on the server | SecureBackupController.swift:196 | spans: root
2026-04-22T10:40:05.877815Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-0" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/room_keys/version"}
2026-04-22T10:40:05.877833Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-1" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/room_keys/version"}
2026-04-22T10:40:05.878211Z  INFO matrix_sdk_crypto::backups: Activated a backup backup_key=MegolmV1BackupKey { key: "f8Iv7vPv1UF2NyrwUIzJCOpy+qhU01pXFaR3uSgjul4", version: Some("1") } | crates/matrix-sdk-crypto/src/backups/mod.rs:389
2026-04-22T10:40:05.878356Z  INFO matrix_sdk::encryption::backups: Backup state changed from Unknown to Enabled | crates/matrix-sdk/src/encryption/backups/mod.rs:527
2026-04-22T10:40:05.878436Z  INFO matrix_sdk::encryption::recovery: Setting up account data listeners and trying to setup recovery | crates/matrix-sdk/src/encryption/recovery/mod.rs:610
2026-04-22T10:40:05.878550Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: send{request_id="REQ-2" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/user/@test2:mertis.kz/account_data/m.secret_storage.default_key"}
2026-04-22T10:40:05.879132Z  INFO elementx: Key backup state changed to: enabled, setting local state to enabled | SecureBackupController.swift:59 | spans: root
2026-04-22T10:40:05.879149Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: send{request_id="REQ-3" method=GET uri="https://matrix.mertis.kz/_matrix/client/v3/user/@test2:mertis.kz/account_data/m.secret_storage.default_key"}
2026-04-22T10:40:05.879195Z DEBUG matrix_sdk_crypto::machine: Initialising crypto store generation at 8 | crates/matrix-sdk-crypto/src/machine/mod.rs:2852 | spans: root
2026-04-22T10:40:05.879576Z  INFO elementx: AllRooms: Updating visible range: 0..<0 | RoomSummaryProvider.swift:166 | spans: root
2026-04-22T10:40:05.879958Z  INFO elementx: AlternateAllRooms: Updating visible range: 0..<0 | RoomSummaryProvider.swift:166 | spans: root
2026-04-22T10:40:05.879998Z  INFO elementx: StaticAllRooms: Updating visible range: 0..<0 | RoomSummaryProvider.swift:166 | spans: root
2026-04-22T10:40:05.880134Z  INFO elementx: AllRooms: Received state update: loaded(maximumNumberOfRooms: Optional(4)) | RoomSummaryProvider.swift:105 | spans: root
2026-04-22T10:40:05.880577Z  INFO elementx: StaticAllRooms: Received state update: loaded(maximumNumberOfRooms: Optional(4)) | RoomSummaryProvider.swift:105 | spans: root
2026-04-22T10:40:05.880587Z  INFO elementx: Starting sync | ClientProxy.swift:442 | spans: root
2026-04-22T10:40:05.881021Z  INFO elementx: AlternateAllRooms: Received state update: loaded(maximumNumberOfRooms: Optional(4)) | RoomSummaryProvider.swift:105 | spans: root
2026-04-22T10:40:05.881156Z  INFO elementx: Received sync service update: running | ClientProxy.swift:1106 | spans: root
2026-04-22T10:40:05.881236Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: send{request_id="REQ-4" method=GET uri="https://matrix.mertis.kz/_matrix/client/unstable/org.matrix.msc2965/auth_metadata"}
